5,10,15,20,25,30,35,40
73.87,75.09,73.17,73.34,73.00,74.91,73.87,73.69
75.04,75.36,76.24,75.84,76.40,76.72,75.60,77.44
84.07,85.55,84.07,84.07,83.19,83.48,83.48,84.07
42.11,53.95,63.16,76.32,73.68,75.00,76.32,64.47
89.61,90.50,90.55,90.00,92.71,91.43,90.25,90.55
65.63,71.35,70.83,70.31,70.31,73.44,72.92,72.92
42.18,36.02,36.97,36.49,42.18,37.44,36.49,36.97
93.96,93.88,91.89,92.14,88.67,51.20,45.16,45.57
62.58,65.08,66.46,65.58,67.21,65.21,64.21,65.08
70.97,72.04,74.19,71.51,72.04,73.12,72.04,74.73
55.77,67.31,63.46,73.08,69.23,69.23,71.15,61.54
64.00,64.00,72.00,80.00,88.00,88.00,84.00,72.00
76.67,75.00,77.08,75.83,78.33,78.75,75.83,77.92
77.50,79.02,72.23,67.43,75.86,75.74,67.62,71.74
95.74,74.61,67.98,65.93,68.93,68.14,65.93,67.82
74.76,76.80,77.53,76.84,81.02,83.96,78.33,78.65
57.78,66.67,64.44,64.44,53.33,55.56,68.89,64.44
76.14,73.86,72.73,69.32,72.73,71.59,68.18,71.59
69.04,66.53,63.60,67.78,65.69,69.04,72.38,69.87
97.08,97.30,97.19,97.30,97.24,97.35,97.35,97.35
84.32,90.07,89.02,89.20,90.07,91.46,89.02,90.94
68.48,66.24,70.24,71.12,75.44,75.12,71.52,72.56
83.48,83.48,82.60,84.66,82.89,82.89,87.32,83.48
73.68,73.68,73.68,72.37,73.68,73.68,72.37,73.68
98.47,99.56,99.75,99.75,99.90,99.90,99.75,99.75
65.10,76.04,67.19,68.75,73.44,68.23,68.75,71.35
53.08,50.24,48.34,60.66,63.51,62.56,60.19,48.34
94.62,96.20,96.77,96.20,96.20,96.20,96.20,97.27
92.87,94.87,93.62,95.74,94.49,95.62,95.62,93.62
76.34,76.34,76.34,76.34,76.34,76.34,76.34,76.34
67.31,63.46,65.38,65.38,61.54,53.85,65.38,65.38
48.00,60.00,64.00,64.00,64.00,52.00,64.00,64.00
76.25,78.75,78.75,78.75,81.25,80.00,78.75,78.75
95.39,98.12,98.54,99.70,99.88,99.88,99.70,98.54
97.16,97.16,97.16,97.16,97.16,96.37,97.16,97.16
80.87,88.25,89.67,89.13,91.38,90.47,90.51,90.00
71.11,71.11,71.11,71.11,71.11,71.11,71.11,71.11
72.73,72.73,72.73,72.73,72.73,68.18,72.73,75.00
69.04,65.27,65.27,74.90,82.01,89.54,71.97,77.41
72.59,74.92,78.54,81.30,81.35,81.46,79.35,79.62
61.85,78.92,84.84,87.63,90.59,87.98,87.63,84.49
65.52,60.96,72.32,69.60,74.88,74.80,73.84,74.80
74.93,79.35,82.01,84.66,84.96,86.14,85.84,80.53
73.68,68.42,67.11,71.05,72.37,72.37,71.05,67.11
83.95,82.42,85.33,82.42,82.42,82.42,82.42,85.33
70.31,76.04,72.40,73.96,67.19,69.79,74.48,71.88
43.13,52.13,57.82,66.35,62.56,59.72,64.45,54.03
93.05,96.20,97.19,96.69,96.44,96.20,96.61,97.19
90.86,94.12,95.24,95.24,96.12,94.74,95.24,95.24
76.34,76.34,76.34,76.34,76.34,76.34,76.34,76.34
71.15,71.15,67.31,57.69,53.85,53.85,57.69,67.31
48.00,48.00,48.00,68.00,84.00,84.00,68.00,48.00
76.25,78.75,78.33,81.25,80.00,80.42,81.25,81.67
88.11,89.63,89.81,96.91,97.21,96.97,97.51,94.30
97.16,96.69,96.53,96.53,96.06,95.74,96.53,96.53
75.24,82.80,84.51,89.67,91.53,91.42,90.18,88.87
71.11,62.22,71.11,71.11,71.11,71.11,71.11,71.11
70.45,67.05,68.18,72.73,71.59,72.73,72.73,68.18
69.46,65.27,78.66,83.68,98.74,98.74,83.68,82.01
79.95,68.92,81.08,72.54,82.65,87.57,83.35,81.62
